S_0,S_1,S_2,I_0,I_1,I_2,R_0,R_1,R_2
11835.415110664724,1431.2958216555176,0.8020698647083322,23.632615456218705,33.75542447142257,11.859176625042018,176850.06405664948,424059.4612782244,236620.56201745992
11835.152686048932,1431.2323499052543,0.8019987280818206,21.094598519140856,30.091223890460256,10.554658186583147,176853.1362966588,424063.8494834057,236622.1037104212
11834.918831614119,1431.1757895817584,0.8019353403202085,18.828367187867432,26.8245535450068,9.39390687580881,176855.87859446628,424067.76134251145,236623.47581598544
11834.710436489839,1431.1253878746104,0.8018788568183652,16.804920843029002,23.91231503077794,8.361044219815799,176858.3262822007,424071.2485344723,236624.6970238793
11834.524728622679,1431.0804740180615,0.8018285251391849,14.998339538415014,21.31607847608449,7.441949802097555,176860.5109219103,424074.3571354263,236625.78395962788
11834.359237856008,1431.0404503398415,0.8017836749333993,13.385458599418206,19.00157737979555,6.624066067126657,176862.46070605027,424077.1282256282,236626.75141310215
11834.211763036641,1431.004784288528,0.8017437089664196,11.945577341725642,16.938258034544788,5.896224864306302,176864.2008156682,424079.5984306876,236627.61254169088
11834.080342708412,1430.9730013320936,0.8017080951296898,10.6601983670302,15.098877647950568,5.248493302114802,176865.75374072263,424081.8004042321,236628.37905092325
11833.963229000901,1430.944678632115,0.8016763593277876,9.51279425564916,13.459145907935378,4.6720367556152045,176867.13956651033,424083.76325832633,236629.06135505252
11833.858864364478,1430.9194394086635,0.8016480791446735,8.488598802533767,11.997405303675047,4.158997112222692,176868.37622976355,424085.51294729434,236629.66871983075
11833.765860840997,1430.896947920264,0.8016228782032705,7.574420236803412,10.694346018514407,3.7023845551670767,176869.4797476079,424087.0726099838,236630.20938945533
11833.682981593467,1430.8769049916257,0.8016004211421018,6.758474128875948,9.532751661820615,3.295981374518839,176870.46442223867,424088.4628749662,236630.6906994475
11833.6091244483,1430.8590440292435,0.8015804091411847,6.030233926423278,8.497272508992165,2.934256464682149,176871.34302387544,424089.70213268226,236631.11917702618
11833.543307230619,1430.8431274715508,0.8015625759368861,5.380297273412495,7.574223277872187,2.6122893173078388,176872.12695428586,424090.8067781084,236631.5006303666
11833.484654697144,1430.828943626146,0.8015466842721171,4.800266457798098,6.751402790251657,2.3257024517821163,176872.8263929314,424091.79142713454,236631.84022797784
11833.432386892473,1430.816303851823,0.8015325227341589,4.282641505179942,6.017933153123301,2.070601343700351,176873.4504275709,424092.6691094973,236632.14256929656
11833.385808773617,1430.8050400477666,0.801519902937674,3.820724589894646,5.364116349552662,1.8435210167226963,176874.00717096656,424093.4514408072,236632.41174747123
11833.344300964583,1430.7950024163858,0.801508657015127,3.4085345733344887,4.781306356767602,1.6413785564229395,176874.50386516325,424094.1487759326,236632.6514052034
11833.307311517836,1430.786057469936,0.8014986353809949,3.0407306033839294,4.261795112278877,1.461430887508503,176874.9469746578,424094.770345759,236632.86478441572
11833.274348572966,1430.778086254334,0.8014897047398359,2.712543820169148,3.798710830164703,1.3012372292831638,176875.34226963622,424095.3243791236,236633.0547704311
11833.244973814797,1430.7709827664844,0.8014817463115738,2.4197163131281085,3.3859273314327623,1.1586257094874888,176875.69490033283,424095.8182115315,236633.2239312709
11833.218796643843,1430.7646525440146,0.8014746542502713,2.1584465638963577,3.0179831967137005,1.0316636746101808,176876.00946345355,424096.2583820846,236633.37455261315
11833.195468981543,1430.7590114086279,0.8014683342352701,1.925340689719744,2.6900096783158784,0.9186312862372371,176876.29006150685,424096.65071990015,236633.50866889086
11833.174680641112,1430.7539843463298,0.8014627022158817,1.7173688739969586,2.3976664235562533,0.8179980387231915,176876.54035579652,424097.00042115833,236633.62809095808
11833.15615520242,1430.7495045096102,0.8014576832928774,1.5318264349747737,2.137084163771516,0.7284018740758836,176876.76361375014,424097.31211779336,236633.7344307031
11833.139646335998,1430.7455123282946,0.8014532107218529,1.3662990413339149,1.904813614841521,0.6486306060164921,176876.9627511867,424097.58993873466,236633.82912294674
11833.124934527274,1430.7419547172228,0.8014492250251775,1.2186316351031734,1.6977799166148309,0.5776053972187616,176877.14037006206,424097.8375645046,236633.91344492554
11833.111824157444,1430.7387843702081,0.8014456732006857,1.0869006686433804,1.5132420113772507,0.514366062196929,176877.2987921746,424098.05827589374,236633.98853362718
11833.100140902154,1430.7359591308766,0.8014425080165686,0.9693893039081818,1.3487564263976142,0.45805799360153476,176877.44008926154,424098.2549973552,236634.05540121527
11833.089729413376,1430.7334414320142,0.8014396873830646,0.8645652593154501,1.2021449834679512,0.40792053215170326,176877.56610987106,424098.4303356907,236634.11494875443
11833.080451253656,1430.7311977959582,0.8014371737925842,0.7710610228009821,1.0714660099834694,0.3632766203972704,176877.67850335478,424098.5866145385,236634.16797842362
11833.072183055254,1430.7291983893876,0.8014349338208079,0.6876561793782638,0.9549886721562412,0.32352359824450627,176877.77874128774,424098.7259051198,236634.21520438427
11833.064814879677,1430.7274166265836,0.8014329376821164,0.6132616281566774,0.8511700920271271,0.28812501394386125,176877.86813659105,424098.8500536472,236634.25726245204
11833.058248755808,1430.7258288158873,0.8014311588334327,0.5469054876005266,0.7586349465705703,0.25660333824795795,176877.9478606027,424098.9607057591,236634.29471870387
11833.052397377167,1430.7244138446465,0.8014295736212022,0.4877205091342637,0.6761572798558025,0.22853348189899786,176878.0189583161,424099.05932830216,236634.32807713785
11833.047182941,1430.723152898463,0.801428160966812,0.4349328382768325,0.6026442883634826,0.20353702767090168,176878.0823619823,424099.14722874854,236634.3577864905
11833.042536113735,1430.722029211005,0.8014269020862647,0.38785197955466816,0.537121865540444,0.18127709802740252,176878.13890325127,424099.225572506,236634.38424630408
11833.038395109066,1430.7210278410555,0.8014257802403714,0.3458618367089297,0.47872171484757287,0.16145378820019476,176878.18932400862,424099.29539834853,236634.40781232683
11833.034704866384,1430.7201354738334,0.8014247805121456,0.3084127133665291,0.42666986122062345,0.14380010226297515,176878.2342860474,424099.3576321715,236634.4288013193
